KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,1997,1.6,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,1998,1.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,1999,1.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2000,2.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2001,2.3,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2002,2.3,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2003,2.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2004,2.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2005,2.2,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2006,2.2,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2007,2.1,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2008,3.3,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2009,0.3,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2010,1.6,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.A.U2.N.000000.4.AVR,A,U2,N,000000,4,AVR,2011,2.7,A,F,,,P1Y,,A,,,,ICPT.A.VAL.HICP.RCH_A_AVG.EA.00.A,,,,,,,1,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
