series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
US next year,Q1,2006–09,4,4,2.4127080865272936,1.1025277992961533,0.6354604465185215,1.278701563230598,1.4996790522889252,4.3050738608928505,3.0,0.3466809088269454,0.3466809088269454
US next year,Q1,2006–09,4,4,2.4127080865272936,1.1025277992961533,0.6354604465185215,1.278701563230598,1.4996790522889252,4.3050738608928505,4.0,0.07517870934959345,0.07517870934959345
US next year,Q1,2006–09,4,4,2.4127080865272936,1.1025277992961533,0.6354604465185215,1.278701563230598,1.4996790522889252,4.3050738608928505,5.0,0.013631787166085924,0.013631787166085924
US next year,Q1,2006–09,4,4,2.4127080865272936,1.1025277992961533,0.6354604465185215,1.278701563230598,1.4996790522889252,4.3050738608928505,10.0,0.0,0.003170078397212525
US next year,Q1,2010–14,5,5,2.7847830828155584,1.181396772619852,0.49721956298633996,1.2847596652603757,1.4736068166295104,4.821568606413043,3.0,0.4292249179368852,0.4292249179368852
US next year,Q1,2010–14,5,5,2.7847830828155584,1.181396772619852,0.49721956298633996,1.2847596652603757,1.4736068166295104,4.821568606413043,4.0,0.13477768931364817,0.13477768931364817
US next year,Q1,2010–14,5,5,2.7847830828155584,1.181396772619852,0.49721956298633996,1.2847596652603757,1.4736068166295104,4.821568606413043,5.0,0.03552734452030824,0.03552734452030824
US next year,Q1,2010–14,5,5,2.7847830828155584,1.181396772619852,0.49721956298633996,1.2847596652603757,1.4736068166295104,4.821568606413043,10.0,0.0,0.008288385023117262
US next year,Q1,2015–19,5,5,2.190651659723299,1.1856172755327516,0.47386985682175464,1.2778005607518619,1.452415690310389,4.097863248760499,3.0,0.22600982468529077,0.22600982468529077
US next year,Q1,2015–19,5,5,2.190651659723299,1.1856172755327516,0.47386985682175464,1.2778005607518619,1.452415690310389,4.097863248760499,4.0,0.05620856334949527,0.05620856334949527
US next year,Q1,2015–19,5,5,2.190651659723299,1.1856172755327516,0.47386985682175464,1.2778005607518619,1.452415690310389,4.097863248760499,5.0,0.01194791517667354,0.01194791517667354
US next year,Q1,2015–19,5,5,2.190651659723299,1.1856172755327516,0.47386985682175464,1.2778005607518619,1.452415690310389,4.097863248760499,10.0,0.0,0.0031507711746209797
US next year,Q1,2020–24,5,5,2.190108672619048,1.6543122705155997,0.7171803657283935,1.8035420504308948,1.8240262356536494,4.855394095325471,3.0,0.12173948260073256,0.350027565018315
US next year,Q1,2020–24,5,5,2.190108672619048,1.6543122705155997,0.7171803657283935,1.8035420504308948,1.8240262356536494,4.855394095325471,4.0,0.10682014926739922,0.10682014926739922
US next year,Q1,2020–24,5,5,2.190108672619048,1.6543122705155997,0.7171803657283935,1.8035420504308948,1.8240262356536494,4.855394095325471,5.0,0.013616650183150161,0.10353948260073256
US next year,Q1,2020–24,5,5,2.190108672619048,1.6543122705155997,0.7171803657283935,1.8035420504308948,1.8240262356536494,4.855394095325471,10.0,0.0009277032967032599,0.0011610366300365798
US next year,Q1,2025–26,2,2,1.8913846612903225,1.360307456535642,0.45917833392081053,1.4358581832397006,1.5366432491925457,3.9503361482427986,3.0,0.042179009216589805,0.276707465437788
US next year,Q1,2025–26,2,2,1.8913846612903225,1.360307456535642,0.45917833392081053,1.4358581832397006,1.5366432491925457,3.9503361482427986,4.0,0.042179009216589805,0.042179009216589805
US next year,Q1,2025–26,2,2,1.8913846612903225,1.360307456535642,0.45917833392081053,1.4358581832397006,1.5366432491925457,3.9503361482427986,5.0,0.00520352534562205,0.042179009216589805
US next year,Q1,2025–26,2,2,1.8913846612903225,1.360307456535642,0.45917833392081053,1.4358581832397006,1.5366432491925457,3.9503361482427986,10.0,0.0,0.00050115207373265
US next year,Q1,2010–19,10,10,2.4877173712694285,1.183507024076302,0.48554470990404724,1.2812801130061189,1.46301125346995,4.45971592758677,3.0,0.32761737131108803,0.32761737131108803
US next year,Q1,2010–19,10,10,2.4877173712694285,1.183507024076302,0.48554470990404724,1.2812801130061189,1.46301125346995,4.45971592758677,4.0,0.09549312633157171,0.09549312633157171
US next year,Q1,2010–19,10,10,2.4877173712694285,1.183507024076302,0.48554470990404724,1.2812801130061189,1.46301125346995,4.45971592758677,5.0,0.023737629848490892,0.023737629848490892
US next year,Q1,2010–19,10,10,2.4877173712694285,1.183507024076302,0.48554470990404724,1.2812801130061189,1.46301125346995,4.45971592758677,10.0,0.0,0.0057195780988691216
US next year,Q1,2023–26,4,4,1.7226307235023042,1.525985146063993,0.5791828449997815,1.6334417889269208,1.5973530567174197,3.9077408493113923,3.0,0.03909172988302015,0.24429686458702582
US next year,Q1,2023–26,4,4,1.7226307235023042,1.525985146063993,0.5791828449997815,1.6334417889269208,1.5973530567174197,3.9077408493113923,4.0,0.03909172988302015,0.03909172988302015
