survey,variable,label,comparison,period,n_rounds,n_rows,within_sd,total_sd,iqr,within_over_iqr,total_over_iqr
us,PRGDP,US real GDP,era,pre (2016Q2–2020Q1),16,64,1.1337743402759601,1.2305937323527323,1.418245050576087,0.7994206218561625,0.86768766219411
us,PRGDP,US real GDP,era,wide (2020Q2–2024Q1),16,64,1.839045401263466,2.0385690337843494,1.9845946841018356,0.9266604491061405,1.027196661421544
us,PRGDP,US real GDP,era,post (2024Q2–2026Q3),10,40,1.2824410144417473,1.3521494856013092,1.4949398654990562,0.8578545826748888,0.9044841981987822
us,PRGDP,US real GDP,boundary (next year),2024Q1,1,1,1.729960200130331,1.854740595666116,1.614570913752754,1.071467462590031,1.1487513988191047
us,PRGDP,US real GDP,boundary (next year),2024Q2,1,1,1.3442403011290385,1.444617185493539,1.5508868212692404,0.8667558990725815,0.9314781489414355
us,PRUNEMP,US unemployment,era,pre (2016Q2–2020Q1),16,64,0.6312166818653224,0.7271320020799846,1.004840566210728,0.628175954565262,0.7236292268951806
us,PRUNEMP,US unemployment,era,wide (2020Q2–2024Q1),16,64,0.9816291068600509,1.180469242539126,1.438867441328505,0.6822234478762781,0.8204155634025605
us,PRUNEMP,US unemployment,era,post (2024Q2–2026Q3),10,40,0.5940715019815472,0.6473942936840048,0.7236540161935291,0.8209330545920343,0.8946185320567199
us,PRUNEMP,US unemployment,boundary (next year),2024Q1,1,1,0.998887687602437,1.078891374389771,1.187607038075421,0.8410927651802961,0.9084582187540508
us,PRUNEMP,US unemployment,boundary (next year),2024Q2,1,1,0.6433674663669955,0.6924702095817447,0.7576617805787937,0.8491486344678936,0.9139568965096169
