survey,variable,label,sample,horizon_key,horizon_years,n_rounds,within_sd,total_sd,iqr
us,PRGDP,US real GDP,Q1 2010–26,h0,0.0,17,1.1946428378634366,1.3236962702822332,1.4571965318990157
us,PRGDP,US real GDP,Q1 2010–26,h1,1.0,17,1.3427792062595474,1.4530722205114743,1.5778547183148728
us,PRGDP,US real GDP,Q1 2010–26,h2,2.0,17,1.4116167189880553,1.5180048181430208,1.60974141134013
us,PRGDP,US real GDP,Q1 2010–26,h3,3.0,17,1.4275897494806442,1.5219520893442198,1.5992920432679811
us,PRUNEMP,US unemployment,Q1 2010–26,h0,0.0,17,0.6168649583826,0.6893631563241239,0.8432452996592192
us,PRUNEMP,US unemployment,Q1 2010–26,h1,1.0,17,0.7125767248520818,0.8274444675627256,1.0135494311286204
us,PRUNEMP,US unemployment,Q1 2010–26,h2,2.0,17,0.7667135167084645,0.9197815027834504,1.1836895221401884
us,PRUNEMP,US unemployment,Q1 2010–26,h3,3.0,17,0.8001378268460902,0.9755620260999495,1.258235271609533
us,PRPGDP,US GDP prices,Q1 1992–26,h0,0.0,35,0.7224427495942524,0.8547831319536355,1.0100200061605744
us,PRPGDP,US GDP prices,Q1 1992–26,h1,1.0,35,0.8169701988083856,0.9524633634001842,1.1443922937027742
us,PRCCPI,US core CPI,Q1 2007–26,h0,0.0,20,0.5195090807053728,0.6684834499486477,0.8007459621579898
us,PRCCPI,US core CPI,Q1 2007–26,h1,1.0,20,0.595042287576925,0.7272190789334073,0.8690303704846221
us,PRCPCE,US core PCE,Q1 2007–26,h0,0.0,20,0.5121789244224659,0.6391751154923456,0.7877183531311007
us,PRCPCE,US core PCE,Q1 2007–26,h1,1.0,20,0.5715499981978402,0.6911659666620715,0.8398389622230061
ecb,hicp,ECB HICP,round-balanced,rolling_1y,,105,0.6217396987509171,0.707755414806103,0.8644597110834182
ecb,hicp,ECB HICP,round-balanced,rolling_2y,,105,0.6817045572868463,0.744741334572076,0.8835159377246331
ecb,hicp,ECB HICP,round-balanced,longer_term,,105,0.7131007725520708,0.7594246854420061,0.8684665394219978
ecb,hicpx,ECB core HICP,round-balanced,rolling_1y,,39,0.6375698592603939,0.7413584666493717,0.8987029562975783
ecb,hicpx,ECB core HICP,round-balanced,rolling_2y,,39,0.6978703844719804,0.7797636337438899,0.8946076615939155
ecb,hicpx,ECB core HICP,round-balanced,longer_term,,39,0.7488373562252989,0.8152594766435922,0.8955567189055414
ecb,rgdp,ECB real GDP,round-balanced,rolling_1y,,105,0.7326305993099637,0.8723140760714473,1.0247538513255015
ecb,rgdp,ECB real GDP,round-balanced,rolling_2y,,105,0.7718963988072458,0.8626040360726785,0.9702425029468231
ecb,rgdp,ECB real GDP,round-balanced,longer_term,,105,0.7748706178306879,0.8262262055335747,0.9362757212597498
ecb,unemp,ECB unemployment,round-balanced,rolling_1y,,105,0.6077207317767027,0.7016730176902357,0.8173208015803702
ecb,unemp,ECB unemployment,round-balanced,rolling_2y,,105,0.6870669534932271,0.8248326052759611,0.9776374822726872
ecb,unemp,ECB unemployment,round-balanced,longer_term,,105,0.8121450226263938,1.0256242672132025,1.2365023936799497
