survey,variable,label,sample,n,inside_1sd,inside_1sd_pct,inside_pooled_90,inside_pooled_90_pct,first_event_year,last_event_year
ecb,hicp,ECB HICP,all horizons,575,332,57.7391304347826,414,72.0,1999,2025
ecb,hicp,ECB HICP,Q1 next year,26,12,46.15384615384615,18,69.23076923076923,2000,2025
ecb,hicp,ECB HICP,rolling 1y,105,52,49.523809523809526,76,72.38095238095238,1999,2025
ecb,hicpx,ECB core HICP,all horizons,176,105,59.65909090909091,129,73.29545454545455,2017,2025
ecb,hicpx,ECB core HICP,Q1 next year,8,5,62.5,6,75.0,2018,2025
ecb,hicpx,ECB core HICP,rolling 1y,33,21,63.63636363636363,24,72.72727272727273,2017,2025
ecb,rgdp,ECB real GDP,all horizons,579,278,48.01381692573403,382,65.97582037996546,1999,2026
ecb,rgdp,ECB real GDP,Q1 next year,26,11,42.30769230769231,14,53.84615384615385,2000,2025
ecb,rgdp,ECB real GDP,rolling 1y,107,54,50.467289719626166,75,70.09345794392523,1999,2026
ecb,unemp,ECB unemployment,all horizons,574,322,56.09756097560976,468,81.53310104529616,2000,2026
ecb,unemp,ECB unemployment,Q1 next year,26,15,57.692307692307686,21,80.76923076923077,2000,2025
ecb,unemp,ECB unemployment,rolling 1y,106,71,66.98113207547169,91,85.84905660377359,2000,2026
us,PRCCPI,US core CPI,all horizons,140,116,82.85714285714286,124,88.57142857142857,2007,2024
us,PRCCPI,US core CPI,Q1 next year,17,14,82.35294117647058,15,88.23529411764706,2008,2024
us,PRCPCE,US core PCE,all horizons,148,113,76.35135135135135,129,87.16216216216216,2007,2025
us,PRCPCE,US core PCE,Q1 next year,18,13,72.22222222222221,16,88.88888888888889,2008,2025
us,PRGDP,US real GDP,all horizons,382,287,75.13089005235602,326,85.34031413612566,1992,2025
us,PRGDP,US real GDP,Q1 next year,33,23,69.6969696969697,26,78.78787878787878,1993,2025
us,PRPGDP,US GDP prices,all horizons,268,222,82.83582089552239,248,92.53731343283582,1992,2025
us,PRPGDP,US GDP prices,Q1 next year,33,23,69.6969696969697,31,93.93939393939394,1993,2025
us,PRUNEMP,US unemployment,all horizons,228,145,63.59649122807017,197,86.40350877192982,2009,2024
us,PRUNEMP,US unemployment,Q1 next year,14,8,57.14285714285714,12,85.71428571428571,2011,2024
