survey,variable,label,event_year,n_forecasts,n_miss_1sd,n_miss_pooled_90,all_miss_1sd,all_miss_pooled_90,run_start,run_end,run_length
ecb,hicp,ECB HICP,1999,5,1,0,False,False,,,0
ecb,hicp,ECB HICP,2000,13,9,3,False,False,,,0
ecb,hicp,ECB HICP,2001,16,4,2,False,False,,,0
ecb,hicp,ECB HICP,2002,18,4,0,False,False,,,0
ecb,hicp,ECB HICP,2003,20,0,0,False,False,,,0
ecb,hicp,ECB HICP,2004,20,1,0,False,False,,,0
ecb,hicp,ECB HICP,2005,21,2,0,False,False,,,0
ecb,hicp,ECB HICP,2006,22,2,0,False,False,,,0
ecb,hicp,ECB HICP,2007,22,2,2,False,False,,,0
ecb,hicp,ECB HICP,2008,22,17,17,False,False,,,0
ecb,hicp,ECB HICP,2009,22,18,17,False,False,,,0
ecb,hicp,ECB HICP,2010,22,2,0,False,False,,,0
ecb,hicp,ECB HICP,2011,22,19,7,False,False,,,0
ecb,hicp,ECB HICP,2012,22,7,0,False,False,,,0
ecb,hicp,ECB HICP,2013,22,6,0,False,False,,,0
ecb,hicp,ECB HICP,2014,22,19,17,False,False,,,0
ecb,hicp,ECB HICP,2015,24,19,14,False,False,,,0
ecb,hicp,ECB HICP,2016,24,17,11,False,False,,,0
ecb,hicp,ECB HICP,2017,24,0,0,False,False,,,0
ecb,hicp,ECB HICP,2018,24,0,0,False,False,,,0
ecb,hicp,ECB HICP,2019,24,2,0,False,False,,,0
ecb,hicp,ECB HICP,2020,24,21,17,False,False,,,0
ecb,hicp,ECB HICP,2021,24,20,10,False,False,,,0
ecb,hicp,ECB HICP,2022,24,24,24,True,True,2022,2022,1
ecb,hicp,ECB HICP,2023,24,17,16,False,False,,,0
ecb,hicp,ECB HICP,2024,24,0,0,False,False,,,0
ecb,hicp,ECB HICP,2025,24,0,0,False,False,,,0
ecb,hicpx,ECB core HICP,2017,5,0,0,False,False,,,0
ecb,hicpx,ECB core HICP,2018,13,0,0,False,False,,,0
ecb,hicpx,ECB core HICP,2019,20,1,0,False,False,,,0
ecb,hicpx,ECB core HICP,2020,20,13,4,False,False,,,0
ecb,hicpx,ECB core HICP,2021,22,5,2,False,False,,,0
ecb,hicpx,ECB core HICP,2022,24,22,21,False,False,,,0
ecb,hicpx,ECB core HICP,2023,24,18,17,False,False,,,0
ecb,hicpx,ECB core HICP,2024,24,6,3,False,False,,,0
ecb,hicpx,ECB core HICP,2025,24,4,0,False,False,,,0
ecb,rgdp,ECB real GDP,1999,6,6,6,True,True,1999,1999,1
ecb,rgdp,ECB real GDP,2000,14,12,8,False,False,,,0
ecb,rgdp,ECB real GDP,2001,16,12,6,False,False,,,0
ecb,rgdp,ECB real GDP,2002,18,13,10,False,False,,,0
ecb,rgdp,ECB real GDP,2003,20,16,13,False,False,,,0
ecb,rgdp,ECB real GDP,2004,20,5,0,False,False,,,0
ecb,rgdp,ECB real GDP,2005,21,3,0,False,False,,,0
ecb,rgdp,ECB real GDP,2006,22,22,17,True,False,2006,2006,1
ecb,rgdp,ECB real GDP,2007,22,15,13,False,False,,,0
ecb,rgdp,ECB real GDP,2008,22,20,19,False,False,,,0
ecb,rgdp,ECB real GDP,2009,22,20,18,False,False,,,0
ecb,rgdp,ECB real GDP,2010,22,16,6,False,False,,,0
ecb,rgdp,ECB real GDP,2011,22,4,2,False,False,,,0
ecb,rgdp,ECB real GDP,2012,22,22,17,True,False,2012,2012,1
ecb,rgdp,ECB real GDP,2013,22,13,9,False,False,,,0
ecb,rgdp,ECB real GDP,2014,22,2,0,False,False,,,0
