window,survey,variable,label,n,pinball_05,pinball_95,ratio_95_over_05,larger_tail
1996–2001,ecb,hicp,ECB HICP,34,0.05713046030157469,0.04113021449039679,0.719934939667607,lower (05)
1996–2001,ecb,rgdp,ECB real GDP,36,0.09777042149866885,0.20801262484764746,2.127561911456826,upper (95)
1996–2001,ecb,unemp,ECB unemployment,29,0.12675386530919908,0.06874492190553591,0.5423497085303228,lower (05)
1996–2001,us,PRGDP,US real GDP,48,0.15142946608283092,0.23107159271418168,1.525935464817574,upper (95)
1996–2001,us,PRPGDP,US GDP prices,48,0.04592335860635949,0.10261828051761472,2.234555216164092,upper (95)
2008–09,ecb,hicp,ECB HICP,44,0.37604292157362473,0.2650368973048842,0.7048049094922084,lower (05)
2008–09,ecb,rgdp,ECB real GDP,44,2.2926282330480543,0.21722884190625022,0.09475101055413768,lower (05)
2008–09,ecb,unemp,ECB unemployment,44,0.10348711938621674,0.45921575471753184,4.437419433849793,upper (95)
2008–09,us,PRCCPI,US core CPI,16,0.04186651668940597,0.06022133933694805,1.4384129394788328,upper (95)
2008–09,us,PRCPCE,US core PCE,16,0.04439497770035469,0.07703964269423612,1.735323378563621,upper (95)
2008–09,us,PRGDP,US real GDP,16,0.5810056518217854,0.19873236600751454,0.34204893770718886,lower (05)
2008–09,us,PRPGDP,US GDP prices,16,0.07638774485628924,0.13406839585018357,1.755103467217298,upper (95)
2008–09,us,PRUNEMP,US unemployment,3,0.034803983742089165,0.03840005715175734,1.1033236147998589,upper (95)
2020–22,ecb,hicp,ECB HICP,72,0.2447694430579783,1.8368479827777533,7.504400712071976,upper (95)
2020–22,ecb,hicpx,ECB core HICP,66,0.10223972598201883,0.47245050659705706,4.6210071678023485,upper (95)
2020–22,ecb,rgdp,ECB real GDP,72,1.839361495827574,0.900693769806327,0.48967740808398447,lower (05)
2020–22,ecb,unemp,ECB unemployment,72,0.05176320528022985,0.11472581775798257,2.2163584564922663,upper (95)
2020–22,us,PRCCPI,US core CPI,24,0.14452909759479918,1.1411650698529512,7.895746177370553,upper (95)
2020–22,us,PRCPCE,US core PCE,24,0.13348501997784198,0.9212745000232991,6.90170702432548,upper (95)
2020–22,us,PRGDP,US real GDP,48,0.5866009341455604,0.5744574417485045,0.9792985457571015,lower (05)
2020–22,us,PRPGDP,US GDP prices,24,0.15157089654671677,1.3348451576469007,8.806737890050538,upper (95)
2020–22,us,PRUNEMP,US unemployment,48,0.11403743533105885,0.6925589892681886,6.073084573128466,upper (95)
