convention,statistic,value
literal,all_groups_mean_shift_max,0.050000000000007816
midpoint,all_groups_mean_shift_max,0.05000000000000604
literal,all_groups_mean_shift_median,0.04979816013765981
midpoint,all_groups_mean_shift_median,0.04970021918415668
literal,all_groups_mean_shift_min,-0.03855129032258153
midpoint,all_groups_mean_shift_min,-0.019041774193549355
literal,all_groups_mean_shift_p05,0.04353882352941203
midpoint,all_groups_mean_shift_p05,0.03609228124999939
literal,all_groups_mean_shift_p95,0.04999999999999982
midpoint,all_groups_mean_shift_p95,0.04999999999999938
literal,all_groups_n,3695.0
midpoint,all_groups_n,3695.0
literal,all_groups_sd_ratio_max,0.11790687099162689
midpoint,all_groups_sd_ratio_max,0.07095746076641318
literal,all_groups_sd_ratio_median,0.009599018920244395
midpoint,all_groups_sd_ratio_median,0.0014037406391889107
literal,all_groups_sd_ratio_p95,0.02614197544229468
midpoint,all_groups_sd_ratio_p95,0.015471391286855275
literal,all_groups_share_mean_lower_under_primary,0.007307171853856563
midpoint,all_groups_share_mean_lower_under_primary,0.0062246278755074425
literal,all_groups_share_sd_ratio_above_1pct,0.46982408660351827
midpoint,all_groups_share_sd_ratio_above_1pct,0.09472259810554803
contiguous,ecb_longer_term_mean_2015_19,1.6350413753346225
literal,ecb_longer_term_mean_2015_19,1.585497894982659
midpoint,ecb_longer_term_mean_2015_19,1.585576201862756
contiguous,ecb_longer_term_mean_2025_26,1.3463463779772404
literal,ecb_longer_term_mean_2025_26,1.2979217585031615
midpoint,ecb_longer_term_mean_2025_26,1.2978950227731965
contiguous,ecb_longer_term_p_above_4_2015_19,0.00426319330988158
literal,ecb_longer_term_p_above_4_2015_19,0.00426319330988158
midpoint,ecb_longer_term_p_above_4_2015_19,0.0
contiguous,ecb_longer_term_p_above_4_2025_26,0.01063725360670735
literal,ecb_longer_term_p_above_4_2025_26,0.01063725360670735
midpoint,ecb_longer_term_p_above_4_2025_26,0.0
contiguous,ecb_longer_term_p_above_4_upper_2015_19,0.00426319330988158
literal,ecb_longer_term_p_above_4_upper_2015_19,0.00426319330988158
midpoint,ecb_longer_term_p_above_4_upper_2015_19,0.00426319330988158
contiguous,ecb_longer_term_p_above_4_upper_2025_26,0.01063725360670735
literal,ecb_longer_term_p_above_4_upper_2025_26,0.01063725360670735
midpoint,ecb_longer_term_p_above_4_upper_2025_26,0.01063725360670735
contiguous,ecb_longer_term_total_sd_2015_19,0.8335152500388852
literal,ecb_longer_term_total_sd_2015_19,0.8274654577065916
midpoint,ecb_longer_term_total_sd_2015_19,0.8317955459222006
contiguous,ecb_longer_term_total_sd_2025_26,0.9016848414066158
literal,ecb_longer_term_total_sd_2025_26,0.8930333669380055
midpoint,ecb_longer_term_total_sd_2025_26,0.8974048299575577
contiguous,ecb_next_year_total_sd_2026q1,0.7839360901078498
literal,ecb_next_year_total_sd_2026q1,0.7764292660479905
midpoint,ecb_next_year_total_sd_2026q1,0.7812250022824572
contiguous,ecb_q1_next_year_mean_crps,1.3394500012346253
literal,ecb_q1_next_year_mean_crps,1.3372144473781944
midpoint,ecb_q1_next_year_mean_crps,1.3358844519680717
contiguous,us_next_year_mean_2015_19,2.190651659723299
literal,us_next_year_mean_2015_19,2.1407676185154108
midpoint,us_next_year_mean_2015_19,2.1408568317871954
contiguous,us_next_year_mean_2025_26,1.8913846612903225
literal,us_next_year_mean_2025_26,1.8414330483870969
midpoint,us_next_year_mean_2025_26,1.8414410921658992
contiguous,us_next_year_p_above_4_2015_19,0.05620856334949527
literal,us_next_year_p_above_4_2015_19,0.05620856334949527
midpoint,us_next_year_p_above_4_2015_19,0.01194791517667354
contiguous,us_next_year_p_above_4_2025_26,0.042179009216589805
literal,us_next_year_p_above_4_2025_26,0.042179009216589805
midpoint,us_next_year_p_above_4_2025_26,0.00520352534562205
contiguous,us_next_year_p_above_4_upper_2015_19,0.05620856334949527
literal,us_next_year_p_above_4_upper_2015_19,0.05620856334949527
midpoint,us_next_year_p_above_4_upper_2015_19,0.05620856334949527
contiguous,us_next_year_p_above_4_upper_2025_26,0.042179009216589805
literal,us_next_year_p_above_4_upper_2025_26,0.042179009216589805
midpoint,us_next_year_p_above_4_upper_2025_26,0.042179009216589805
contiguous,us_next_year_total_sd_2015_19,1.2778005607518619
literal,us_next_year_total_sd_2015_19,1.2710924820541778
midpoint,us_next_year_total_sd_2015_19,1.2769901928621832
contiguous,us_next_year_total_sd_2025_26,1.4358581832397006
literal,us_next_year_total_sd_2025_26,1.4283628492391398
midpoint,us_next_year_total_sd_2025_26,1.435569828046497
contiguous,us_next_year_total_sd_2026q1,1.409766297186996
literal,us_next_year_total_sd_2026q1,1.4024570474090072
midpoint,us_next_year_total_sd_2026q1,1.409710138867733
contiguous,us_q1_next_year_inside_1sd,22.0
literal,us_q1_next_year_inside_1sd,23.0
